  0%|                                                                                                                                                                                     | 0/6468 [00:00<?, ?it/s]Casting fp32 inputs back to torch.bfloat16 for flash-attn compatibility.
                                                                                                                                                                                                                   
{'loss': 1.7331, 'grad_norm': 10.837296485900879, 'learning_rate': 4.945114409400124e-05, 'epoch': 0.01}
{'loss': 2.8319, 'grad_norm': 13.258238792419434, 'learning_rate': 4.944341372912802e-05, 'epoch': 0.01}
{'loss': 2.025, 'grad_norm': 13.088889122009277, 'learning_rate': 4.9435683364254795e-05, 'epoch': 0.01}
{'loss': 1.7181, 'grad_norm': 12.513530731201172, 'learning_rate': 4.942795299938157e-05, 'epoch': 0.01}
{'loss': 2.1929, 'grad_norm': 11.696768760681152, 'learning_rate': 4.9420222634508354e-05, 'epoch': 0.01}
{'loss': 2.0457, 'grad_norm': 13.45322036743164, 'learning_rate': 4.941249226963513e-05, 'epoch': 0.01}
{'loss': 2.4148, 'grad_norm': 10.948417663574219, 'learning_rate': 4.940476190476191e-05, 'epoch': 0.01}
{'loss': 1.3596, 'grad_norm': 15.187673568725586, 'learning_rate': 4.939703153988868e-05, 'epoch': 0.01}
{'loss': 2.2155, 'grad_norm': 12.968903541564941, 'learning_rate': 4.938930117501546e-05, 'epoch': 0.01}
{'loss': 1.477, 'grad_norm': 14.2547025680542, 'learning_rate': 4.938157081014224e-05, 'epoch': 0.01}
{'loss': 1.5227, 'grad_norm': 13.618902206420898, 'learning_rate': 4.937384044526902e-05, 'epoch': 0.01}
{'loss': 2.0593, 'grad_norm': 10.347352981567383, 'learning_rate': 4.9366110080395796e-05, 'epoch': 0.01}
{'loss': 1.2708, 'grad_norm': 12.781892776489258, 'learning_rate': 4.935837971552257e-05, 'epoch': 0.01}
{'loss': 2.074, 'grad_norm': 12.29771614074707, 'learning_rate': 4.9350649350649355e-05, 'epoch': 0.01}
{'loss': 2.096, 'grad_norm': 11.827044486999512, 'learning_rate': 4.934291898577613e-05, 'epoch': 0.01}
{'loss': 1.8766, 'grad_norm': 11.452152252197266, 'learning_rate': 4.933518862090291e-05, 'epoch': 0.01}
{'loss': 1.9092, 'grad_norm': 13.322138786315918, 'learning_rate': 4.9327458256029684e-05, 'epoch': 0.01}
{'loss': 1.7229, 'grad_norm': 13.228028297424316, 'learning_rate': 4.931972789115647e-05, 'epoch': 0.01}
{'loss': 1.8763, 'grad_norm': 10.537898063659668, 'learning_rate': 4.9311997526283244e-05, 'epoch': 0.01}
{'loss': 2.4133, 'grad_norm': 13.916808128356934, 'learning_rate': 4.930426716141002e-05, 'epoch': 0.01}
{'loss': 1.8564, 'grad_norm': 15.14396858215332, 'learning_rate': 4.92965367965368e-05, 'epoch': 0.01}
{'loss': 1.4835, 'grad_norm': 11.349164009094238, 'learning_rate': 4.928880643166357e-05, 'epoch': 0.01}
{'loss': 1.7473, 'grad_norm': 12.191065788269043, 'learning_rate': 4.9281076066790356e-05, 'epoch': 0.01}
{'loss': 2.3421, 'grad_norm': 11.176877975463867, 'learning_rate': 4.927334570191713e-05, 'epoch': 0.01}
{'loss': 2.3808, 'grad_norm': 17.367952346801758, 'learning_rate': 4.9265615337043916e-05, 'epoch': 0.01}
{'loss': 1.9034, 'grad_norm': 11.382401466369629, 'learning_rate': 4.9257884972170686e-05, 'epoch': 0.01}
{'loss': 2.1585, 'grad_norm': 11.718587875366211, 'learning_rate': 4.925015460729747e-05, 'epoch': 0.02}
{'loss': 1.8413, 'grad_norm': 13.142081260681152, 'learning_rate': 4.9242424242424245e-05, 'epoch': 0.02}
{'loss': 1.8567, 'grad_norm': 10.681890487670898, 'learning_rate': 4.923469387755102e-05, 'epoch': 0.02}
{'loss': 2.1299, 'grad_norm': 8.634398460388184, 'learning_rate': 4.92269635126778e-05, 'epoch': 0.02}
{'loss': 1.2711, 'grad_norm': 12.327269554138184, 'learning_rate': 4.9219233147804574e-05, 'epoch': 0.02}
{'loss': 1.655, 'grad_norm': 10.108880996704102, 'learning_rate': 4.921150278293136e-05, 'epoch': 0.02}
{'loss': 2.091, 'grad_norm': 9.254055976867676, 'learning_rate': 4.9203772418058134e-05, 'epoch': 0.02}
{'loss': 1.8881, 'grad_norm': 9.079562187194824, 'learning_rate': 4.919604205318492e-05, 'epoch': 0.02}
{'loss': 1.6917, 'grad_norm': 14.3794584274292, 'learning_rate': 4.918831168831169e-05, 'epoch': 0.02}
{'loss': 0.9049, 'grad_norm': 10.119098663330078, 'learning_rate': 4.918058132343847e-05, 'epoch': 0.02}
{'loss': 2.0821, 'grad_norm': 10.834046363830566, 'learning_rate': 4.9172850958565246e-05, 'epoch': 0.02}
{'loss': 2.4841, 'grad_norm': 12.898681640625, 'learning_rate': 4.916512059369203e-05, 'epoch': 0.02}
{'loss': 0.8763, 'grad_norm': 10.345918655395508, 'learning_rate': 4.91573902288188e-05, 'epoch': 0.02}
{'loss': 1.1325, 'grad_norm': 11.573210716247559, 'learning_rate': 4.914965986394558e-05, 'epoch': 0.02}
{'loss': 1.7631, 'grad_norm': 12.254597663879395, 'learning_rate': 4.914192949907236e-05, 'epoch': 0.02}
{'loss': 2.0128, 'grad_norm': 13.07430362701416, 'learning_rate': 4.9134199134199135e-05, 'epoch': 0.02}
{'loss': 2.2941, 'grad_norm': 12.612388610839844, 'learning_rate': 4.912646876932591e-05, 'epoch': 0.02}
{'loss': 1.4183, 'grad_norm': 11.561086654663086, 'learning_rate': 4.911873840445269e-05, 'epoch': 0.02}
{'loss': 2.1138, 'grad_norm': 10.10097599029541, 'learning_rate': 4.911100803957947e-05, 'epoch': 0.02}
{'loss': 2.1904, 'grad_norm': 9.602335929870605, 'learning_rate': 4.910327767470625e-05, 'epoch': 0.02}
{'loss': 2.4279, 'grad_norm': 12.90566635131836, 'learning_rate': 4.909554730983303e-05, 'epoch': 0.02}
{'loss': 1.4548, 'grad_norm': 11.462950706481934, 'learning_rate': 4.90878169449598e-05, 'epoch': 0.02}
